"fip","zip"
"02013","99553"
"02013","99571"
"02013","99583"
"02013","99612"
"02013","99661"
"02016","99546"
"02016","99547"
"02016","99591"
"02016","99638"
"02016","99660"
"02016","99685"
"02016","99692"
"02020","99501"
"02020","99502"
"02020","99503"
"02020","99504"
"02020","99505"
"02020","99506"
"02020","99507"
"02020","99508"
"02020","99509"
"02020","99510"
"02020","99511"
"02020","99513"
"02020","99514"
"02020","99515"
"02020","99516"
"02020","99517"
"02020","99518"
"02020","99519"
"02020","99520"
"02020","99521"
"02020","99522"
"02020","99523"
"02020","99524"
"02020","99529"
"02020","99530"
"02020","99540"
"02020","99567"
"02020","99577"
"02020","99587"
"02020","99599"
"02020","99695"
"02050","99545"
"02050","99551"
"02050","99552"
"02050","99557"
"02050","99559"
"02050","99561"
"02050","99575"
"02050","99578"
"02050","99589"
"02050","99607"
"02050","99609"
"02050","99614"
"02050","99621"
"02050","99622"
"02050","99626"
"02050","99630"
"02050","99634"
"02050","99637"
"02050","99641"
"02050","99651"
"02050","99655"
"02050","99656"
"02050","99668"
"02050","99679"
"02050","99680"
"02050","99681"
"02050","99690"
"02060","99613"
"02060","99633"
"02060","99670"
"02068","99704"
"02068","99729"
"02068","99743"
"02068","99744"
"02068","99755"
"02070","99555"
"02070","99569"
"02070","99576"
"02070","99580"
"02070","99628"
"02070","99636"
"02070","99678"
"02090","99701"
"02090","99702"
"02090","99703"
"02090","99705"
"02090","99706"
"02090","99707"
"02090","99708"
"02090","99709"
"02090","99710"
"02090","99711"
"02090","99712"
"02090","99714"
"02090","99716"
"02090","99725"
"02090","99775"
"02090","99790"
"02100","99827"
"02110","99801"
"02110","99802"
"02110","99803"
"02110","99811"
"02110","99812"
"02110","99821"
"02110","99824"
"02110","99850"
"02122","99556"
"02122","99568"
"02122","99572"
"02122","99603"
"02122","99605"
"02122","99610"
"02122","99611"
"02122","99631"
"02122","99635"
"02122","99639"
"02122","99663"
"02122","99664"
"02122","99669"
"02122","99672"
"02122","99682"
"02130","99901"
"02130","99928"
"02130","99950"
"02150","99550"
"02150","99608"
"02150","99615"
"02150","99619"
"02150","99624"
"02150","99643"
"02150","99644"
"02150","99697"
"02158","99554"
"02158","99563"
"02158","99581"
"02158","99585"
"02158","99604"
"02158","99620"
"02158","99632"
"02158","99650"
"02158","99657"
"02158","99658"
"02158","99662"
"02158","99666"
"02164","99548"
"02164","99549"
"02164","99564"
"02164","99565"
"02164","99579"
"02164","99606"
"02164","99625"
"02164","99640"
"02164","99647"
"02164","99648"
"02164","99649"
"02164","99653"
"02170","99623"
"02170","99629"
"02170","99645"
"02170","99652"
"02170","99654"
"02170","99667"
"02170","99674"
"02170","99676"
"02170","99683"
"02170","99687"
"02170","99688"
"02170","99694"
"02180","99659"
"02180","99671"
"02180","99684"
"02180","99739"
"02180","99742"
"02180","99753"
"02180","99762"
"02180","99769"
"02180","99771"
"02180","99772"
"02180","99778"
"02180","99783"
"02180","99784"
"02180","99785"
"02185","99721"
"02185","99723"
"02185","99734"
"02185","99747"
"02185","99759"
"02185","99766"
"02185","99782"
"02185","99789"
"02185","99791"
"02188","99727"
"02188","99736"
"02188","99749"
"02188","99750"
"02188","99751"
"02188","99752"
"02188","99761"
"02188","99763"
"02188","99770"
"02188","99773"
"02188","99786"
"02198","99903"
"02198","99918"
"02198","99919"
"02198","99921"
"02198","99922"
"02198","99923"
"02198","99925"
"02198","99926"
"02198","99927"
"02220","99835"
"02232","99689"
"02232","99820"
"02232","99825"
"02232","99826"
"02232","99829"
"02232","99832"
"02232","99840"
"02232","99841"
"02240","99731"
"02240","99732"
"02240","99737"
"02240","99738"
"02240","99764"
"02240","99776"
"02240","99780"
"02261","99566"
"02261","99573"
"02261","99574"
"02261","99586"
"02261","99588"
"02261","99677"
"02261","99686"
"02261","99693"
"02280","99830"
"02280","99833"
"02280","99836"
"02280","99929"
"02290","99558"
"02290","99590"
"02290","99602"
"02290","99627"
"02290","99665"
"02290","99675"
"02290","99691"
"02290","99720"
"02290","99722"
"02290","99724"
"02290","99726"
"02290","99730"
"02290","99733"
"02290","99740"
"02290","99741"
"02290","99745"
"02290","99746"
"02290","99748"
"02290","99754"
"02290","99756"
"02290","99757"
"02290","99758"
"02290","99760"
"02290","99765"
"02290","99767"
"02290","99768"
"02290","99774"
"02290","99777"
"02290","99781"
"02290","99788"
"01001","36003"
"01001","36006"
"01001","36008"
"01001","36051"
"01001","36066"
"01001","36067"
"01001","36068"
"01001","36749"
"01003","36507"
"01003","36511"
"01003","36526"
"01003","36527"
"01003","36530"
"01003","36532"
"01003","36533"
"01003","36535"
"01003","36536"
"01003","36542"
"01003","36547"
"01003","36549"
"01003","36550"
"01003","36551"
"01003","36555"
"01003","36559"
"01003","36561"
"01003","36562"
"01003","36564"
"01003","36567"
"01003","36574"
"01003","36576"
"01003","36577"
"01003","36578"
"01003","36579"
"01003","36580"
"01005","36016"
"01005","36017"
"01005","36027"
"01005","36048"
"01005","36072"
"01007","35034"
"01007","35035"
"01007","35042"
"01007","35074"
"01007","35184"
"01007","35188"
"01007","36792"
"01007","36793"
"01009","35013"
"01009","35031"
"01009","35049"
"01009","35079"
"01009","35097"
"01009","35121"
"01009","35133"
"01011","36029"
"01011","36053"
"01011","36061"
"01011","36089"
"01013","36015"
"01013","36030"
"01013","36033"
"01013","36037"
"01013","36456"
"01015","36201"
"01015","36202"
"01015","36203"
"01015","36204"
"01015","36205"
"01015","36206"
"01015","36207"
"01015","36250"
"01015","36253"
"01015","36254"
"01015","36257"
"01015","36260"
"01015","36265"
"01015","36271"
"01015","36272"
"01015","36277"
"01015","36279"
"01017","36852"
"01017","36854"
"01017","36855"
"01017","36862"
"01017","36863"
"01019","35959"
"01019","35960"
"01019","35973"
"01019","35983"
"01019","36275"
"01021","35045"
"01021","35046"
"01021","35085"
"01021","35171"
"01021","36091"
"01021","36750"
"01021","36790"
"01023","36904"
"01023","36908"
"01023","36910"
"01023","36912"
"01023","36913"
"01023","36915"
"01023","36916"
"01023","36919"
"01023","36921"
"01023","36922"
"01025","36436"
"01025","36446"
"01025","36451"
"01025","36482"
"01025","36524"
"01025","36540"
"01025","36545"
"01025","36727"
"01025","36784"
"01027","35082"
"01027","36251"
"01027","36255"
"01027","36258"
"01027","36266"
"01027","36267"
"01029","36261"
"01029","36262"
"01029","36264"
"01029","36269"
"01029","36273"
"01031","36323"
"01031","36330"
"01031","36331"
"01031","36346"
"01031","36351"
"01031","36453"
"01033","35616"
"01033","35646"
"01033","35660"
"01033","35661"
"01033","35662"
"01033","35674"
"01035","36401"
"01035","36429"
"01035","36432"
"01035","36454"
"01035","36473"
"01035","36475"
"01037","35072"
"01037","35089"
"01037","35136"
"01037","35183"
"01037","36026"
"01039","36038"
"01039","36420"
"01039","36442"
"01039","36455"
"01039","36467"
"01039","36474"
"01039","36476"
"01039","36483"
"01041","36009"
"01041","36028"
"01041","36034"
"01041","36041"
"01041","36042"
"01041","36049"
"01041","36062"
"01041","36071"
"01043","35019"
"01043","35033"
"01043","35053"
"01043","35055"
"01043","35056"
"01043","35057"
"01043","35058"
"01043","35070"
"01043","35077"
"01043","35083"
"01043","35087"
"01043","35098"
"01043","35179"
"01045","36311"
"01045","36317"
"01045","36322"
"01045","36350"
"01045","36352"
"01045","36360"
"01045","36361"
"01045","36362"
"01045","36371"
"01045","36374"
"01047","36701"
"01047","36702"
"01047","36703"
"01047","36758"
"01047","36759"
"01047","36761"
"01047","36767"
"01047","36773"
"01047","36775"
"01047","36785"
"01049","35961"
"01049","35962"
"01049","35963"
"01049","35967"
"01049","35968"
"01049","35971"
"01049","35974"
"01049","35975"
"01049","35978"
"01049","35981"
"01049","35984"
"01049","35986"
"01049","35988"
"01049","35989"
"01051","36020"
"01051","36022"
"01051","36024"
"01051","36025"
"01051","36045"
"01051","36054"
"01051","36078"
"01051","36080"
"01051","36092"
"01051","36093"
